module,area,area_name,image,canvas_w,canvas_h,zoom,panel_x0,panel_y0,panel_w,panel_h,fiducials,marker_number,note_index,tag,strref,name,vanilla_px,vanilla_world_x,vanilla_world_y,anchor_img_x,anchor_img_y,badge_img_x,badge_img_y,nearest_note_px,crowded,off_map,live_px,live_img_x,live_img_y,north_axis
danm14ab,m14ab,Dantooine - Matale Grounds,danm14ab.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",3,21,SW_WAYPOINT001,33413,Path South,"45,139",146.402481,99.2844925,210.0,642.0,240.0,612.0,58.0,False,False,"33,140",162.0,646.0,0
danm14ab,m14ab,Dantooine - Matale Grounds,danm14ab.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",4,22,SW_WAYPOINT001,33425,Path North,"367,112",503.272247,131.312317,1498.0,534.0,1528.0,504.0,67.7,False,False,"368,108",1502.0,518.0,0
danm14ab,m14ab,Dantooine - Matale Grounds,danm14ab.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",5,23,SW_WAYPOINT001,33413,Path South,"377,179",514.35199,50.5212097,1538.0,802.0,1568.0,772.0,67.7,False,False,"375,188",1530.0,838.0,0
danm14ac,m14ac,Dantooine - Grove,danm14ac.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,27,SW_WAYPOINT001,33425,Path North,"79,45",285.484314,430.294037,346.0,266.0,376.0,236.0,85.5,False,False,"66,31",294.0,210.0,0
danm14ac,m14ac,Dantooine - Grove,danm14ac.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,28,SW_WAYPOINT001,33425,Path North,"329,33",407.099609,436.566742,1346.0,218.0,1376.0,188.0,125.8,False,False,"326,26",1334.0,190.0,0
danm14ac,m14ac,Dantooine - Grove,danm14ac.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",3,29,SW_WAYPOINT001,33413,Path South,"258,200",372.878876,350.67514,1062.0,886.0,1092.0,856.0,143.8,False,False,"254,217",1046.0,954.0,0
danm14ac,m14ac,Dantooine - Grove,danm14ac.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",4,30,SW_WAYPOINT001,33413,Path South,"70,130",280.985107,386.403809,310.0,606.0,340.0,576.0,85.5,False,False,"68,144",302.0,662.0,0
danm14ac,m14ac,Dantooine - Grove,danm14ac.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",5,31,MN_grove,33453,Ancient Grove,"390,143",437.278503,380.109253,1590.0,658.0,1620.0,628.0,125.8,False,False,,,,0
danm14ad,m14ad,Dantooine - Sandral Grounds,danm14ad.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,22,mapnote,33459,Sandral Estate,"78,134",336.331268,145.387039,342.0,622.0,372.0,592.0,85.2,False,False,"81,139",354.0,642.0,0
danm14ad,m14ad,Dantooine - Sandral Grounds,danm14ad.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,23,SW_WAYPOINT001,33460,Cave Entrance,"414,171",562.570068,117.476196,1686.0,770.0,1716.0,740.0,66.5,False,False,"411,168",1674.0,758.0,0
danm14ad,m14ad,Dantooine - Sandral Grounds,danm14ad.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",3,24,SW_WAYPOINT001,33425,Path North,"367,124",531.232605,152.875092,1498.0,582.0,1528.0,552.0,66.5,False,False,"377,110",1538.0,526.0,0
danm14ad,m14ad,Dantooine - Sandral Grounds,danm14ad.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",4,25,SW_WAYPOINT001,33425,Path North,"110,55",357.586731,204.628983,470.0,306.0,500.0,276.0,85.2,False,False,"111,52",474.0,294.0,0
danm14ae,m14ae,Dantooine - Crystal Cave,danm14ae.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,1,SW_WAYPOINT001,33461,Exit,"60,190",13.5985374,151.774033,270.0,846.0,300.0,816.0,343.5,False,False,"43,192",202.0,854.0,0
danm14ae,m14ae,Dantooine - Crystal Cave,danm14ae.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,17,SW_WAYPOINT001,39324,Crystal Formation,"383,73",112.471443,188.602737,1562.0,378.0,1592.0,348.0,343.5,False,False,,,,0
danm15,m15aa,Dantooine - Ruins,danm15.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,2,SW_WAYPOINT001,33461,Exit,"203,56",147.482468,91.9137802,842.0,310.0,872.0,280.0,160.0,False,False,,,,1
danm15,m15aa,Dantooine - Ruins,danm15.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,3,SW_WAYPOINT001,33475,Star Map,"203,216",147.537247,188.215637,842.0,950.0,872.0,920.0,160.0,False,False,,,,1
danm16,m16aa,Dantooine - Sandral Estate,danm16.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,21,SW_WAYPOINT001,33461,Exit,"226,29",45.3330536,30.6085815,934.0,202.0,964.0,172.0,82.3,False,False,,,,1
danm16,m16aa,Dantooine - Sandral Estate,danm16.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,22,SW_WAYPOINT001,33461,Exit,"325,151",19.6141396,63.6265411,1330.0,690.0,1360.0,660.0,83.2,False,False,"331,149",1354.0,682.0,1
danm16,m16aa,Dantooine - Sandral Estate,danm16.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",3,33,SW_MAPNOTE001,43297,Holding Cell,"255,106",37.9189835,51.4302139,1050.0,510.0,1080.0,480.0,82.3,False,False,,,,1
ebo_m12aa,m12aa,Ebon Hawk,ebo_m12aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,46,Cargo,39412,Cargo Hold,"144,172",27.3722343,30.5576344,606.0,774.0,636.0,744.0,75.1,False,False,"160,168",670.0,758.0,0
ebo_m12aa,m12aa,Ebon Hawk,ebo_m12aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,47,Cockpit,39414,Cockpit,"228,17",52.7783394,80.174881,942.0,154.0,972.0,124.0,103.8,False,False,"227,28",938.0,198.0,0
ebo_m12aa,m12aa,Ebon Hawk,ebo_m12aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",3,48,PortQuarters,39415,Crew Quarters,"131,98",23.2197571,54.2395248,554.0,478.0,584.0,448.0,75.1,False,False,"131,108",554.0,518.0,0
ebo_m12aa,m12aa,Ebon Hawk,ebo_m12aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",4,49,Swoop,39416,Swoop Hangar,"284,182",69.9854584,27.4138718,1166.0,814.0,1196.0,784.0,72.7,False,False,"265,166",1090.0,750.0,0
ebo_m12aa,m12aa,Ebon Hawk,ebo_m12aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",5,50,Starboard,39415,Crew Quarters,"319,92",80.764389,56.2321472,1306.0,454.0,1336.0,424.0,48.5,False,False,"314,107",1286.0,514.0,0
ebo_m12aa,m12aa,Ebon Hawk,ebo_m12aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",6,51,Engine,39417,Engine Room,"217,244",49.4640312,7.27915573,898.0,1062.0,928.0,1032.0,91.3,False,False,"217,212",898.0,934.0,0
ebo_m12aa,m12aa,Ebon Hawk,ebo_m12aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",7,52,sw_exit,39418,Exit Ramp,"274,110",66.9202194,50.4058647,1126.0,526.0,1156.0,496.0,48.5,False,False,"275,115",1130.0,546.0,0
ebo_m41aa,m12aa,Ebon Hawk,ebo_m41aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,15,cargo,39412,Cargo Hold,"146,170",27.819416,31.0983524,614.0,766.0,644.0,736.0,71.8,False,False,"160,168",670.0,758.0,0
ebo_m41aa,m12aa,Ebon Hawk,ebo_m41aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,16,portquarters,39415,Crew Quarters,"126,101",21.6745911,53.2886353,534.0,490.0,564.0,460.0,71.8,False,False,"131,108",554.0,518.0,0
ebo_m41aa,m12aa,Ebon Hawk,ebo_m41aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",3,17,SwoopRacer,39416,Swoop Hangar,"280,185",68.7210083,26.4141407,1150.0,826.0,1180.0,796.0,59.3,False,False,"265,166",1090.0,750.0,0
ebo_m41aa,m12aa,Ebon Hawk,ebo_m41aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",4,18,exit,33461,Exit,"274,126",66.9621277,45.197422,1126.0,590.0,1156.0,560.0,48.5,False,False,"272,117",1118.0,554.0,0
ebo_m41aa,m12aa,Ebon Hawk,ebo_m41aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",5,19,SW_MAPNOTE001,39414,Cockpit,"225,22",51.9131927,78.6615601,930.0,174.0,960.0,144.0,115.0,False,False,"227,28",938.0,198.0,0
ebo_m41aa,m12aa,Ebon Hawk,ebo_m41aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",6,20,Starboard,39415,Crew Quarters,"319,108",80.581749,51.1631241,1306.0,518.0,1336.0,488.0,48.5,False,False,"314,107",1286.0,514.0,0
ebo_m41aa,m12aa,Ebon Hawk,ebo_m41aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",7,21,SW_MAPNOTE001,39417,Engine Room,"217,241",49.4663734,8.40962029,898.0,1050.0,928.0,1020.0,84.3,False,False,"217,212",898.0,934.0,0
ebo_m46ab,m46aa,Prison,ebo_m46ab.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,4,SW_MAPNOTE001,39448,Strange Obelisks,"227,74",100.22187,123.704697,938.0,382.0,968.0,352.0,999.0,False,False,,,,0
end_m01aa,m01aa,Endar Spire - Command Module,end_m01aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,6,SW_WAYPOINT001,34305,Bridge,"406,130",34.2802582,155.6745,1654.0,606.0,1684.0,576.0,98.5,False,False,,,,3
end_m01aa,m01aa,Endar Spire - Command Module,end_m01aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,7,SW_WAYPOINT001,43391,Escape Pod Access,"311,156",45.0139351,120.18956,1274.0,710.0,1304.0,680.0,98.5,False,False,,,,3
end_m01aa,m01aa,Endar Spire - Command Module,end_m01aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",3,18,SW_WAYPOINT001,39590,Quarters,"48,82",14.9991999,21.4336128,222.0,414.0,252.0,384.0,273.2,False,False,"52,83",238.0,418.0,3
end_m01ab,m01ab,Endar Spire - Starboard Section,end_m01ab.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,6,SW_WAYPOINT001,34353,Escape Pods,"55,197",82.8280487,42.3063354,250.0,874.0,280.0,844.0,999.0,False,False,,,,3
kas_m22aa,m22aa,Kashyyyk - Czerka Landing Port,kas_m22aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,46,SW_MAPNOTE001,33404,Ebon Hawk,"93,208",54.8121414,50.9973755,402.0,918.0,432.0,888.0,250.3,False,False,"87,210",378.0,926.0,0
kas_m22aa,m22aa,Kashyyyk - Czerka Landing Port,kas_m22aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,47,SW_MAPNOTE001,39700,To the Great Walkway,"335,26",166.228363,140.869797,1370.0,190.0,1400.0,160.0,126.0,False,False,"338,25",1382.0,186.0,0
kas_m22aa,m22aa,Kashyyyk - Czerka Landing Port,kas_m22aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",3,48,SW_MAPNOTE001,39701,Janos' Office,"337,152",167.446472,78.8449326,1378.0,694.0,1408.0,664.0,126.0,False,False,"320,145",1310.0,666.0,0
kas_m22ab,m22ab,Kashyyyk - The Great Walkway,kas_m22ab.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,32,SW_MAPNOTE001,39721,To the Czerka Dock,"85,71",52.5129089,270.46048,370.0,370.0,400.0,340.0,106.0,False,False,,,,0
kas_m22ab,m22ab,Kashyyyk - The Great Walkway,kas_m22ab.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,33,SW_MAPNOTE001,39722,To Rwookrrorro Village,"232,37",228.789261,313.888428,958.0,234.0,988.0,204.0,53.9,False,False,"233,34",962.0,222.0,0
kas_m22ab,m22ab,Kashyyyk - The Great Walkway,kas_m22ab.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",3,34,SW_MAPNOTE001,39723,Supply Station,"191,72",179.975662,269.249268,794.0,374.0,824.0,344.0,53.9,False,False,,,,0
kas_m22ab,m22ab,Kashyyyk - The Great Walkway,kas_m22ab.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",4,35,SW_MAPNOTE001,39724,Basket to the Shadowlands,"292,208",301.529999,97.5049438,1198.0,918.0,1228.0,888.0,169.4,False,False,,,,0
kas_m23aa,m23aa,Kashyyyk - Village of Rwookrrorro,kas_m23aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,8,SW_MAPNOTE001,39700,To the Great Walkway,"101,42",71.5530472,130.857742,434.0,254.0,464.0,224.0,137.6,False,False,"97,37",418.0,234.0,0
kas_m23aa,m23aa,Kashyyyk - Village of Rwookrrorro,kas_m23aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,9,SW_MAPNOTE001,39729,Chieftain's Hall,"146,172",94.2319489,65.0962524,614.0,774.0,644.0,744.0,70.5,False,False,,,,0
kas_m23aa,m23aa,Kashyyyk - Village of Rwookrrorro,kas_m23aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",3,10,SW_MAPNOTE001,39730,Holder of the Laws,"317,120",180.391647,91.1630096,1298.0,566.0,1328.0,536.0,112.0,False,False,"318,116",1302.0,550.0,0
kas_m23aa,m23aa,Kashyyyk - Village of Rwookrrorro,kas_m23aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",4,11,SW_MAPNOTE001,39731,Home of Woorwill,"206,135",124.565742,83.7277451,854.0,626.0,884.0,596.0,70.5,False,False,"213,131",882.0,610.0,0
kas_m23ab,m23ab,Kashyyyk - Woorwill's Home,kas_m23ab.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,1,SW_MAPNOTE001,33461,Exit,"271,119",27.8429184,13.3213787,1114.0,562.0,1144.0,532.0,999.0,False,False,"284,127",1166.0,594.0,0
kas_m23ac,m23ac,Kashyyyk - Worrroznor's Home,kas_m23ac.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,3,SW_MAPNOTE001,33461,Exit,"287,113",37.5661736,14.6355362,1178.0,538.0,1208.0,508.0,999.0,False,False,"284,120",1166.0,566.0,0
kas_m23ad,m23ad,Kashyyyk - Hall of the Chieftain,kas_m23ad.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,8,SW_MAPNOTE001,33461,Exit,"292,90",43.9458542,20.2838707,1198.0,446.0,1228.0,416.0,999.0,False,False,"300,87",1230.0,434.0,0
kas_m24aa,m24aa,Kashyyyk - Upper Shadowlands,kas_m24aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,23,SW_MAPNOTE001,39782,Basket Up,"106,129",68.3637848,148.274231,454.0,602.0,484.0,572.0,70.6,False,False,,,,0
kas_m24aa,m24aa,Kashyyyk - Upper Shadowlands,kas_m24aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,24,SW_MAPNOTE001,39783,Jolee's Hut,"176,138",145.285355,137.318695,734.0,638.0,764.0,608.0,70.6,False,False,,,,0
kas_m24aa,m24aa,Kashyyyk - Upper Shadowlands,kas_m24aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",3,25,SW_MAPNOTE001,39784,Czerka Hunting Ground,"262,68",241.464615,225.213318,1078.0,358.0,1108.0,328.0,99.7,False,False,,,,0
kas_m24aa,m24aa,Kashyyyk - Upper Shadowlands,kas_m24aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",4,26,SW_MAPNOTE001,39785,Forcefield,"352,111",340.63916,170.957672,1438.0,530.0,1468.0,500.0,99.7,False,False,"352,116",1438.0,550.0,0
kas_m25aa,m25aa,Kashyyyk - Lower Shadowlands,kas_m25aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,31,SW_MAPNOTE001,39891,To Upper Shadowlands,"288,35",184.744797,243.268646,1182.0,226.0,1212.0,196.0,72.0,False,False,"284,32",1166.0,214.0,0
kas_m25aa,m25aa,Kashyyyk - Lower Shadowlands,kas_m25aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,32,SW_MAPNOTE001,39892,Swoop Bikes,"147,140",30.1987877,117.079559,618.0,646.0,648.0,616.0,92.2,False,False,"144,145",606.0,666.0,0
kas_m25aa,m25aa,Kashyyyk - Lower Shadowlands,kas_m25aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",3,33,SW_MAPNOTE001,39893,Computer,"191,221",78.2632294,19.8388367,794.0,970.0,824.0,940.0,92.2,False,False,,,,0
kas_m25aa,m25aa,Kashyyyk - Lower Shadowlands,kas_m25aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",4,34,SW_MAPNOTE001,39894,Ritual Marker,"292,200",189.05867,45.5530701,1198.0,886.0,1228.0,856.0,93.1,False,False,"290,209",1190.0,922.0,0
kas_m25aa,m25aa,Kashyyyk - Lower Shadowlands,kas_m25aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",5,35,SW_MAPNOTE001,39895,Freyyr,"287,107",183.984253,156.743958,1178.0,514.0,1208.0,484.0,72.0,False,False,,,,0
korr_m33aa,m33aa,Korriban - Dreshdae,korr_m33aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,39,k33a_map_dreexit,39910,To Korriban,"345,98",243.565186,161.872147,1410.0,478.0,1440.0,448.0,28.1,False,False,"343,95",1402.0,466.0,0
korr_m33aa,m33aa,Korriban - Dreshdae,korr_m33aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,40,k33a_map_store,34558,Czerka Store,"255,63",189.095703,184.213623,1050.0,338.0,1080.0,308.0,92.3,False,False,"250,69",1030.0,362.0,0
korr_m33aa,m33aa,Korriban - Dreshdae,korr_m33aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",3,41,k33a_map_cantina,34552,Cantina,"347,70",245.053879,179.805267,1418.0,366.0,1448.0,336.0,28.1,False,False,,,,0
korr_m33aa,m33aa,Korriban - Dreshdae,korr_m33aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",4,65,k33a_map_ebon,34556,To Ebon Hawk,"121,57",107.852074,188.206619,514.0,314.0,544.0,284.0,134.1,False,False,"125,56",530.0,310.0,0
korr_m33ab,m33ab,Korriban - Sith Academy Entrance,korr_m33ab.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,14,k33b_map_dreshda,34574,To Dreshdae,"179,153",8.91146851,2.87930441,746.0,698.0,776.0,668.0,144.5,False,False,"180,149",750.0,682.0,0
korr_m33ab,m33ab,Korriban - Sith Academy Entrance,korr_m33ab.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,15,k33b_map_sithaca,34576,To Sith Academy,"323,165",81.0619736,-4.0396986,1322.0,746.0,1352.0,716.0,144.5,False,False,"320,162",1310.0,734.0,0
korr_m34aa,m34aa,Korriban - Shyrack Caves,korr_m34aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,4,k34_map_valley,39926,To Valley,"112,127",6.68578053,150.69989,478.0,594.0,508.0,564.0,115.0,False,False,"115,124",490.0,582.0,0
korr_m34aa,m34aa,Korriban - Shyrack Caves,korr_m34aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,24,k34_map_renegade,43806,Renegade Sith,"217,174",111.843956,99.7686539,898.0,782.0,928.0,752.0,115.0,False,False,"217,166",898.0,750.0,0
korr_m35aa,m35aa,Korriban - Sith Academy,korr_m35aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,1,k35_way_pcroom,34654,Bedroom,"141,89",42.7199745,111.575775,594.0,442.0,624.0,412.0,124.8,False,False,"148,91",622.0,450.0,0
korr_m35aa,m35aa,Korriban - Sith Academy,korr_m35aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,41,k35_map_dreshdae,34574,To Dreshdae,"250,154",121.717903,61.0009346,1030.0,702.0,1060.0,672.0,92.8,False,False,"253,158",1042.0,718.0,0
korr_m35aa,m35aa,Korriban - Sith Academy,korr_m35aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",3,51,k35_map_valley,39926,To Valley,"251,30",121.724289,157.423248,1034.0,206.0,1064.0,176.0,121.6,False,False,"252,23",1038.0,178.0,0
korr_m35aa,m35aa,Korriban - Sith Academy,korr_m35aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",4,52,k35_map_duelling,39942,Dueling Room,"342,166",188.095032,51.9902992,1398.0,750.0,1428.0,720.0,51.2,False,False,"343,169",1402.0,762.0,0
korr_m35aa,m35aa,Korriban - Sith Academy,korr_m35aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",5,53,k35_map_torture,39946,Interrogation Room,"338,115",184.981979,91.7505646,1382.0,546.0,1412.0,516.0,51.2,False,False,,,,0
korr_m36aa,m36aa,Korriban - Valley of Dark Lords,korr_m36aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",1,11,k36_way_lashowe,47880,Meeting Place,"228,26",89.1072235,252.16507,942.0,190.0,972.0,160.0,24.3,False,False,,,,0
korr_m36aa,m36aa,Korriban - Valley of Dark Lords,korr_m36aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",2,30,k36_map_sithacad,34576,To Sith Academy,"183,239",38.5129242,0.525375366,762.0,1042.0,792.0,1012.0,56.0,False,False,"182,244",758.0,1062.0,0
korr_m36aa,m36aa,Korriban - Valley of Dark Lords,korr_m36aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",3,31,k36_map_caves,34676,To Caves,"201,186",58.5631332,63.228775,834.0,830.0,864.0,800.0,56.0,False,False,"211,182",874.0,814.0,0
korr_m36aa,m36aa,Korriban - Valley of Dark Lords,korr_m36aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",4,32,k36_map_final,39988,To Naga Sadow's Tomb,"178,25",32.171669,253.072769,742.0,186.0,772.0,156.0,50.0,False,False,"171,24",714.0,182.0,0
korr_m36aa,m36aa,Korriban - Valley of Dark Lords,korr_m36aa.png,2404,1230,4,28,84,1760,1024,"18,18 2385,18 18,1211 2385,1211",5,33,k36_map_second,39990,To Marka Ragnos' Tomb,"174,87",27.4505882,180.172104,726.0,434.0,756.0,404.0,62.1,False,False,"168,87",702.0,434.0,0
