module,note_index,name,decision,target_px,decided,reason
danm16,22,Exit,override,"320,149","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 2 px from the marker, target map px 320,149"
danm16,33,Holding Cell,override,"253,120","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 253,120"
ebo_m12aa,51,Engine Room,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"room_centre proposal, reviewed on its crop and approved: moves 32 px from the vanilla position"
ebo_m12aa,52,Exit Ramp,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"transition proposal, reviewed on its crop and approved: the walkable-floor gate moved it 14 px"
ebo_m41aa,18,Exit,override,"274,117","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 274,117"
ebo_m41aa,21,Engine Room,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"room_centre proposal, reviewed on its crop and approved: moves 29 px from the vanilla position"
end_m01aa,6,Bridge,override,"410,126","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 410,126"
end_m01aa,7,Escape Pod Access,override,"311,147","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 311,147"
end_m01aa,18,Quarters,override,"53,78","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 53,78"
kas_m22aa,46,Ebon Hawk,override,"97,210","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 2 px from the marker, target map px 97,210"
kas_m22aa,47,To the Great Walkway,override,"314,38","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 314,38"
kas_m22aa,48,Janos' Office,override,"322,154","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 322,154"
kas_m22ab,32,To the Czerka Dock,override,"82,65","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 82,65"
kas_m22ab,34,Supply Station,override,"190,74","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 190,74"
kas_m22ab,35,Basket to the Shadowlands,override,"293,210","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 293,210"
kas_m23aa,8,To the Great Walkway,override,"105,47","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 105,47"
kas_m23aa,10,Holder of the Laws,override,"314,124","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 314,124"
kas_m23ab,1,Exit,override,"279,105","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 279,105"
kas_m23ac,3,Exit,override,"279,100","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 2 px from the marker, target map px 279,100"
kas_m23ad,8,Exit,override,"300,84","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 300,84"
kas_m24aa,23,Basket Up,override,"117,126","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 117,126"
kas_m24aa,24,Jolee's Hut,override,"181,136","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 181,136"
kas_m24aa,26,Forcefield,override,"348,107","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 348,107"
kas_m25aa,32,Swoop Bikes,reject,,"2026-08-29 user (atlas annotation, full pass)","blob drawn over the vanilla marker on the atlas: reviewer confirms the authored position, do not move this note"
kas_m25aa,35,Freyyr,reject,,2026-08-28 user,names a character and already sits on him; centring in the room moves it off what it names
korr_m33aa,39,To Korriban,override,"342,96","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 342,96"
korr_m33aa,40,Czerka Store,override,"251,72","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 2 px from the marker, target map px 251,72"
korr_m33aa,41,Cantina,reject,,2026-08-28 user,named place marked by its doorway - the game's own convention
korr_m33ab,14,To Dreshdae,override,"179,148","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 179,148"
korr_m33ab,15,To Sith Academy,override,"320,160","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 320,160"
korr_m34aa,4,To Valley,override,"117,125","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 117,125"
korr_m34aa,24,Renegade Sith,override,"217,168","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 217,168"
korr_m35aa,1,Bedroom,override,"141,84","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 141,84"
korr_m35aa,41,To Dreshdae,override,"254,158","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 254,158"
korr_m35aa,52,Dueling Room,override,"351,170","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 351,170"
korr_m35aa,53,Interrogation Room,override,"338,106","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 9 px from the marker, target map px 338,106"
korr_m36aa,30,To Sith Academy,override,"184,235","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 4 px from the marker, target map px 184,235"
korr_m36aa,31,To Caves,override,"210,185","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 210,185"
korr_m36aa,33,To Marka Ragnos' Tomb,override,"169,85","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 169,85"
korr_m36aa,34,To Tulak Hord's Tomb,override,"258,29","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 5 px from the marker, target map px 258,29"
korr_m37aa,9,To Valley,override,"78,134","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 78,134"
korr_m37aa,12,Sith Sarcophagus,override,"372,123","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 372,123"
korr_m38aa,5,To Valley,override,"48,121","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 2 px from the marker, target map px 48,121"
korr_m38aa,9,Sith Sarcophagus,override,"378,120","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 378,120"
korr_m38ab,13,To Valley,override,"47,110","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 47,110"
korr_m38ab,16,Sith Sarcophagus,override,"388,67","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 388,67"
korr_m39aa,13,To Valley,override,"221,31","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 221,31"
korr_m39aa,19,Star Map,override,"221,219","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 221,219"
lev_m40aa,37,Elevator,override,"379,127","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 3 px from the marker, target map px 379,127"
lev_m40aa,81,Barracks,override,"232,220","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 232,220"
lev_m40aa,82,Cell Block,override,"286,192","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 286,192"
lev_m40aa,83,Droid Maintenance,override,"149,96","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 149,96"
lev_m40ab,19,Elevator,override,"67,127","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 67,127"
lev_m40ab,22,To Bridge,override,"387,125","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 387,125"
lev_m40ab,23,To Bridge Storage,override,"346,83","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 346,83"
lev_m40ab,57,Central Corridor,override,"215,38","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 215,38"
lev_m40ab,58,Central Corridor,override,"214,220","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 214,220"
lev_m40ab,59,Bridge Corridor,reject,,2026-08-28 user,"old and new are both inside the same corridor; no visible change, saves a table entry"
lev_m40ac,16,Elevator,override,"48,49","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 48,49"
lev_m40ac,17,Hangar Control,override,"195,62","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 195,62"
lev_m40ac,18,To Hangar,override,"368,51","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 368,51"
lev_m40ad,6,To Command Deck,override,"53,91","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 53,91"
lev_m40ad,7,Airlock,override,"52,55","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 52,55"
lev_m40ad,8,Airlock,override,"180,114","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 180,114"
lev_m40ad,10,Bridge,override,"355,137","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 355,137"
liv_m99aa,21,To Ebon Hawk,override,"28,130","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 28,130"
manm26aa,16,Mercenary Enclave,override,"295,32","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 295,32"
manm26aa,38,Holding Cell,override,"223,158","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 223,158"
manm26ab,11,Swoop Track Registration,override,"226,236","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 226,236"
manm26ab,12,General Shop,override,"249,77","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 249,77"
manm26ab,13,Sith Base,override,"265,16","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 265,16"
manm26ac,23,To Docking Bay,override,"216,23","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 216,23"
manm26ac,24,Port Official,override,"228,141","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 228,141"
manm26ac,26,To Ahto City East Central,override,"272,225","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 272,225"
manm26ad,52,Sith Hangar,override,"187,139","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 187,139"
manm26ad,53,Private Hangar,override,"97,123","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 97,123"
manm26ad,54,Manaan - West Central,override,"184,165","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 184,165"
manm26ae,69,To West Central Courtyard,override,"139,222","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 139,222"
manm26ae,70,Tyvark's Shop,override,"149,184","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 149,184"
manm26ae,71,To East Courtyard,override,"294,184","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 294,184"
manm26ae,72,Visitor's Hotel,override,"141,125","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 141,125"
manm26ae,73,Republic Enclave,override,"249,118","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 249,118"
manm27aa,26,Elevator to Ahto City,override,"204,203","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 204,203"
manm27aa,28,Flow Control,override,"281,145","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 281,145"
manm27aa,29,North Computer Room,override,"101,66","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 101,66"
manm27aa,30,Training Annex,override,"226,39","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 226,39"
manm27aa,32,Droid Repair,override,"163,171","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 163,171"
manm28aa,28,Airlock,override,"209,209","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 209,209"
manm28aa,29,Airlock,override,"142,210","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 142,210"
manm28aa,31,Airlock,override,"311,199","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 311,199"
manm28aa,37,Submersible,override,"203,60","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 203,60"
manm28aa,46,Central Storage Room,override,"199,170","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 199,170"
manm28aa,47,West Storage Room,override,"145,167","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 145,167"
manm28aa,50,Security Room,override,"165,147","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 165,147"
manm28ab,18,Airlock,override,"338,93","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 338,93"
manm28ab,19,Airlock,override,"352,144","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 352,144"
manm28ac,3,Airlock,override,"255,45","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 255,45"
manm28ac,4,To Sea Floor,override,"165,115","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 165,115"
manm28ad,3,To Kolto Control,override,"141,159","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 141,159"
manm28ad,4,To Hrakert Station,override,"130,142","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 130,142"
manm28ad,5,Star Map,override,"296,150","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 296,150"
sta_m45aa,11,To Elevator,override,"260,58","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 260,58"
sta_m45aa,22,To East Exit,override,"310,230","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 310,230"
sta_m45aa,23,To West Exit,override,"175,230","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 175,230"
sta_m45aa,24,To Ebon Hawk,override,"242,50","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 242,50"
sta_m45ab,3,To Elevator,override,"107,188","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 107,188"
sta_m45ab,6,To East Exit,override,"362,19","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 362,19"
sta_m45ab,7,To West Exit,override,"76,18","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 76,18"
sta_m45ab,25,Computer Room,override,"341,161","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 341,161"
sta_m45ac,9,To West Elevator,override,"95,63","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 95,63"
sta_m45ac,10,To East Elevator,override,"301,176","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 301,176"
sta_m45ad,3,To Command Center,override,"220,58","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 220,58"
sta_m45ad,4,To Elevator,override,"294,87","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 294,87"
tar_m02ab,33,Droids by Janice,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"door_room proposal, reviewed on its crop and approved: green-door rule: moved into the room through the door"
tar_m02ab,36,To Apartments,reject,,"2026-08-29 user (atlas annotation, full pass)","blob drawn over the vanilla marker on the atlas: reviewer confirms the authored position, do not move this note"
tar_m02ab,37,To Upper City South,override,"311,205","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 311,205"
tar_m02ac,40,Clinic,override,"246,140","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 246,140"
tar_m02ac,41,Equipment Emporium,override,"97,141","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 97,141"
tar_m02ac,42,To Upper City Cantina,override,"127,187","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 127,187"
tar_m02ad,26,Yun's Apartment,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),superseded by the green-door rule: there IS a room behind that door on this map and the note now centres in it; confirmed on the crop
tar_m02ad,27,Sarna's Apartment,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"door_room proposal, reviewed on its crop and approved: green-door rule: moved into the room through the door; the door joins two rooms of similar size (M02ad_04a 150, M02ad_09h 153): which one the note names cannot be derived"
tar_m02ae,29,Dueling Arena,override,"370,148","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 370,148"
tar_m02ae,40,Duel Organizer,override,"115,212","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 115,212"
tar_m02af,8,To Apartment Complex,override,"248,163","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 248,163"
tar_m03aa,16,To Black Vulkar Base,override,"373,153","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 373,153"
tar_m03aa,17,To Upper City,override,"304,163","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 304,163"
tar_m03aa,18,To Apartments,override,"303,143","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 303,143"
tar_m03aa,21,To Apartments,override,"201,88","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 201,88"
tar_m03ab,22,Selven's Apartment,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"door_room proposal, reviewed on its crop and approved: green-door rule: moved into the room through the door"
tar_m03ad,27,Matrik's Apartment,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),superseded by the green-door rule: there IS a room behind that door on this map and the note now centres in it; confirmed on the crop
tar_m03ae,11,To Lower City,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"transition proposal, reviewed on its crop and approved: lands in room M03ae_05a, vanilla was in M03ae_01a"
tar_m04aa,54,To Lower City,override,"158,144","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 158,144"
tar_m04aa,55,Village Gate,override,"229,103","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 229,103"
tar_m04aa,56,Escape Pod,override,"308,54","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 308,54"
tar_m04aa,57,To Sewers,override,"213,42","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 213,42"
tar_m04aa,58,To Sewers,override,"267,198","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 267,198"
tar_m04aa,84,Gendar's Tent,override,"183,172","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 183,172"
tar_m05aa,11,Gamorrean Compound,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"door_room proposal, reviewed on its crop and approved: green-door rule: moved into the room through the door"
tar_m05aa,12,Force Field,override,"247,72","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 247,72"
tar_m05aa,25,To Undercity,override,"182,54","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 182,54"
tar_m05aa,26,To Undercity,override,"295,59","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 295,59"
tar_m05ab,18,To Lower Sewers,override,"59,103","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 59,103"
tar_m05ab,19,To Black Vulkar Base,reject,,"2026-08-29 user (atlas annotation, full pass)","blob drawn over the vanilla marker on the atlas: reviewer confirms the authored position, do not move this note"
tar_m08aa,38,Throne Room,reject,,2026-08-28 user,4 px from trigger tar08_davstr and 6 px from Davik; deliberately on the throne
tar_m08aa,39,Hangar,override,"187,172","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 187,172"
tar_m08aa,57,Barracks,override,"124,65","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 124,65"
tar_m08aa,58,Barracks,override,"201,43","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 201,43"
tar_m08aa,59,Barracks,override,"225,37","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 225,37"
tar_m08aa,60,Spice Lab,approve,,2026-08-28 user (batch; crops in review-sheets-r2 inspected),"door_room proposal, reviewed on its crop and approved: green-door rule: moved into the room through the door; the door joins two rooms of similar size (M08aa_13a 190, M08aa_09c 227): which one the note names cannot be derived"
tar_m09ab,0,To Sith Base,override,"206,200","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 206,200"
tar_m10aa,30,To Sewers,override,"332,18","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 332,18"
tar_m10aa,40,Barracks,override,"107,140","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 107,140"
tar_m11aa,23,To Lower City,override,"211,215","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 211,215"
tar_m11aa,27,Bar,override,"120,99","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 120,99"
tar_m11ab,1,To Main Base,override,"215,81","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 215,81"
tat_m17aa,41,Spaceport,override,"106,55","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 106,55"
tat_m17aa,42,Hunting Lodge,override,"153,78","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 153,78"
tat_m17aa,43,Czerka Office,override,"161,114","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 161,114"
tat_m17aa,44,Swoop Registration,override,"183,170","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 183,170"
tat_m17aa,46,Droid Shop,override,"319,62","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 319,62"
tat_m17aa,47,To the Dune Sea,override,"378,91","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 378,91"
tat_m17ab,16,Exit,override,"244,222","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 244,222"
tat_m17ac,1,Exit,override,"278,92","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 0 px from the marker, target map px 278,92"
tat_m17ad,2,Exit,override,"282,89","2026-08-29 user (atlas annotation, full pass)","hand-placed on the atlas: magenta mark 1 px from the marker, target map px 282,89"
