module,note_index,tag,name,triage,rule,confidence,move_px,old_px,new_px,new_world_x,new_world_y,reason,decision,target_px,note
manm26aa,16,SW_WAYPOINT001,Mercenary Enclave,big move,room_centre,medium,21.6,"279,29","291,47",-16.802064,33.421320,"sole note in room M26aa_11a (78 px across), only note in it",,,
tat_m17ac,1,SW_MAPNOTE001,Exit,low confidence,transition,low,21.2,"279,85","299,92",8.574610,3.666680,"the only exit nearby is door TatooineDoor1 -> tat_m17aa (Tatooine - Anchorhead), 21 px away; matched on position, not name",,,
kas_m22aa,48,SW_MAPNOTE001,Janos' Office,big move,room_centre,high,18.4,"337,152","320,145",159.582730,82.403683,"off walkable floor, nearest is room M22aa_03a (80 px across), only note in it",,,
lev_m40ab,19,SW_MAPNOTE001,Elevator,big move,object,medium,18.1,"46,130","64,128",19.000000,55.000000,"names the door 'Elevator' (Door List), 18 px away, name match 1.00",,,
tar_m02ad,27,tar02_mnsarnas,Sarna's Apartment,big move,room_centre,medium,18.0,"112,121","94,121",74.582229,112.210960,"sole note in room M02ad_04a (60 px across), only note in it",,,
tar_m02af,8,SW_MAPNOTE001,To Apartment Complex,low confidence,transition,low,17.7,"240,159","253,171",90.744499,134.255997,"the only exit nearby is door tar02_aptdoor -> tar_m02aa (), 18 px away; matched on position, not name",,,
danm14ae,1,SW_WAYPOINT001,Exit,low confidence,transition,low,17.1,"60,190","43,192",8.645374,150.959063,"the only exit nearby is trigger to14ad -> danm14ad (Dantooine - Sandral Grounds), 17 px away; matched on position, not name",,,
tar_m09aa,20,tar09_mnelevator,Elevator,low confidence,transition,low,17.0,"366,189","366,206",36.651501,-13.878300,"the only exit nearby is door ptar_elevdoor -> tar_m09ab (Taris - Sith Base), 17 px away; matched on position, not name",,,
tar_m11ab,1,SW_MAPNOTE001,To Main Base,big move,transition,medium,17.0,"215,86","215,69",23.128401,30.784000,"names door ptar_secdoor -> tar_m11aa (Taris - Hidden Bek Base), name match 0.50",,,
kas_m23ac,3,SW_MAPNOTE001,Exit,low confidence,transition,low,16.6,"287,113","302,120",39.055599,13.814700,"the only exit nearby is door KashyyykDoor2 -> kas_m23aa (Kashyyyk - Village of Rwookrrorro), 17 px away; matched on position, not name",,,
ebo_m12aa,46,Cargo,Cargo Hold,big move,room_centre,medium,16.5,"144,172","160,168",32.146379,31.694086,"sole note in room M12aa_01k (69 px across), only note in it",,,
kas_m23ab,1,SW_MAPNOTE001,Exit,low confidence,transition,low,16.1,"271,119","285,127",29.348301,12.352500,"the only exit nearby is door KashyyykDoor2 -> kas_m23aa (Kashyyyk - Village of Rwookrrorro), 16 px away; matched on position, not name",,,
manm26ae,72,SW_MAPNOTE001,Visitor's Hotel,big move,object,medium,16.1,"141,121","157,123",22.356400,62.065102,"names the door ""Visitor's Hotel"" (Door List), 16 px away, name match 1.00",,,
ebo_m12aa,50,Starboard,Crew Quarters,big move,room_centre,medium,15.8,"319,92","314,107",79.167837,51.446260,"sole note in room M12aa_01i (39 px across), only note in it",,,
manm28aa,37,SW_MAPNOTE001,Submersible,big move,room_centre,medium,15.6,"204,51","194,39",123.864950,211.115789,"sole note in room M28AA_01A (69 px across), only note in it",,,
kas_m23ad,8,SW_MAPNOTE001,Exit,low confidence,transition,low,15.3,"292,90","307,87",46.240101,20.758101,"the only exit nearby is door KashyyykDoor2 -> kas_m23aa (Kashyyyk - Village of Rwookrrorro), 15 px away; matched on position, not name",,,
tar_m11aa,29,tar11_mnelevator,Elevator,low confidence,transition,low,15.0,"211,45","211,60",70.472298,97.523697,"the only exit nearby is door ptar_secdoor -> tar_m11ab (Taris - Hidden Bek Base), 15 px away; matched on position, not name",,,
tar_m02ad,26,tar02_mnyuns,Yun's Apartment,recentred an on-floor note,room_centre,medium,14.9,"288,52","298,41",139.107323,138.953640,"sole note in room M02ad_02a (75 px across), only note in it",,,
ebo_m41aa,15,cargo,Cargo Hold,recentred an on-floor note,room_centre,medium,14.1,"146,170","160,168",32.146379,31.694086,"sole note in room M12aa_01k (69 px across), only note in it",,,
manm26ae,73,SW_MAPNOTE001,Republic Enclave,recentred an on-floor note,room_centre,medium,12.8,"250,108","242,118",74.930365,65.936901,"sole note in room M26ae_02a (50 px across), only note in it",,,
tat_m17ab,16,SW_MAPNOTE001,Exit,low confidence,transition,low,12.1,"240,238","245,249",8.979520,-46.064201,"the only exit nearby is door TatooineDoor2 -> tat_m17aa (Tatooine - Anchorhead), 12 px away; matched on position, not name",,,
kas_m24aa,23,SW_MAPNOTE001,Basket Up,recentred an on-floor note,room_centre,medium,12.0,"106,129","114,120",76.974085,159.243751,"sole note in room m24aa_02a (71 px across), only note in it",,,
korr_m35aa,41,k35_map_dreshdae,To Dreshdae,low confidence,transition,low,12.0,"250,154","250,166",121.504997,51.745300,"the only exit nearby is door kor35_kor33b -> korr_m33ab (Korriban - Sith Academy Entrance), 12 px away; matched on position, not name",,,
lev_m40ab,59,lev40_mnbridge,Bridge Corridor,recentred an on-floor note,room_centre,medium,11.4,"324,129","335,126",118.892085,56.023132,"sole note in room M40ab_06b (60 px across), only note in it",,,
tar_m08aa,38,mapnote,Throne Room,recentred an on-floor note,room_centre,medium,11.2,"183,91","172,93",53.261026,103.606035,"sole note in room M08aa_16b (36 px across), only note in it",,,
manm26ae,70,SW_MAPNOTE001,Tyvark's Shop,recentred an on-floor note,room_centre,medium,10.4,"142,189","152,186",19.178968,21.506394,"sole note in room M26ae_05a (43 px across), only note in it",,,
kas_m24aa,24,SW_MAPNOTE001,Jolee's Hut,recentred an on-floor note,room_centre,medium,10.2,"176,138","186,136",156.071147,138.953901,"sole note in room m24aa_10a (79 px across), only note in it",,,
unk_m44aa,52,seccomp2,Security Computer,recentred an on-floor note,room_centre,medium,10.0,"259,72","260,62",60.174145,84.649525,"sole note in room m44aa_15a (35 px across), only note in it",,,
ebo_m41aa,18,exit,Exit,position-only match,transition,medium,9.2,"274,126","272,117",66.189211,48.002614,"the only exit nearby is trigger newtransition001 -> ? (Unknown World - Central Beach), 9 px away; matched on position, not name",,,
danm14ac,28,SW_WAYPOINT001,Path North,position-only match,transition,medium,8.2,"329,33","331,25",408.515297,440.301468,"the only exit nearby is trigger to14be -> danm14ab (Dantooine - Matale Grounds), 8 px away; matched on position, not name",,,
tat_m20aa,15,SW_MAPNOTE001,Exit,position-only match,transition,medium,8.1,"68,126","60,125",-30.026300,66.644897,"the only exit nearby is door TatooineDoor3 -> tat_m18ab (Tatooine - Sand People Territory), 8 px away; matched on position, not name",,,
danm14ac,30,SW_WAYPOINT001,Path South,position-only match,transition,medium,7.8,"70,130","65,136",278.364784,383.636986,"the only exit nearby is trigger to14dw -> danm14ad (Dantooine - Sandral Grounds), 8 px away; matched on position, not name",,,
danm14ac,27,SW_WAYPOINT001,Path North,position-only match,transition,medium,7.3,"79,45","77,38",284.645088,433.627014,"the only exit nearby is trigger to14bw -> danm14ab (Dantooine - Matale Grounds), 7 px away; matched on position, not name",,,
danm16,21,SW_WAYPOINT001,Exit,position-only match,transition,medium,7.0,"226,29","226,22",45.410801,28.778900,"the only exit nearby is door dan16_door03 -> danm14ad (Dantooine - Sandral Grounds), 7 px away; matched on position, not name",,,
danm14ab,21,SW_WAYPOINT001,Path South,position-only match,transition,medium,6.1,"45,139","39,140",139.232468,98.043320,"the only exit nearby is trigger to14cw -> danm14ac (Dantooine - Grove), 6 px away; matched on position, not name",,,
danm16,22,SW_WAYPOINT001,Exit,position-only match,transition,medium,6.1,"325,151","331,152",18.189600,63.933601,"the only exit nearby is door dan16_door04 -> danm14ad (Dantooine - Sandral Grounds), 6 px away; matched on position, not name",,,
danm15,2,SW_WAYPOINT001,Exit,position-only match,transition,medium,6.0,"203,56","203,50",147.455994,88.439201,"the only exit nearby is door man15_door02 -> danm14aa (Dantooine - Courtyard), 6 px away; matched on position, not name",,,
manm27aa,26,SW_MAPNOTE001,Elevator to Ahto City,position-only match,transition,medium,6.0,"204,208","204,214",98.845825,35.542824,"the only exit nearby is trigger to26b -> manm26ab (Manaan - West Central), 6 px away; matched on position, not name",,,
danm14ac,29,SW_WAYPOINT001,Path South,position-only match,transition,medium,5.8,"258,200","255,205",371.131149,348.010956,"the only exit nearby is trigger to14de -> danm14ad (Dantooine - Sandral Grounds), 6 px away; matched on position, not name",,,
danm14aa,28,SW_WAYPOINT001,Path South,position-only match,transition,medium,5.4,"325,189","323,194",287.006111,54.368553,"the only exit nearby is trigger to14be -> danm14ab (Dantooine - Matale Grounds), 5 px away; matched on position, not name",,,
danm14ab,23,SW_WAYPOINT001,Path South,position-only match,transition,medium,5.1,"377,179","376,184",513.109673,44.992856,"the only exit nearby is trigger to14ce -> danm14ac (Dantooine - Grove), 5 px away; matched on position, not name",,,
sta_m45ab,3,k45b_map_elevato,To Elevator,position-only match,transition,medium,5.1,"100,188","99,183",-2.276000,-189.994995,"the only exit nearby is door sta45b_sta45c -> sta_m45ac (Star Forge - Command Center), 5 px away; matched on position, not name",,,
danm14ad,24,SW_WAYPOINT001,Path North,position-only match,transition,medium,4.5,"367,124","369,120",532.116486,155.954170,"the only exit nearby is trigger to14ce -> danm14ac (Dantooine - Grove), 4 px away; matched on position, not name",,,
danm14ab,20,SW_WAYPOINT001,Path North,position-only match,transition,medium,4.1,"45,81","44,77",144.875888,172.905597,"the only exit nearby is trigger to14aw -> danm14aa (Dantooine - Courtyard), 4 px away; matched on position, not name",,,
danm14ab,22,SW_WAYPOINT001,Path North,position-only match,transition,medium,4.1,"367,112","368,108",503.981430,135.678116,"the only exit nearby is trigger to14ae -> danm14aa (Dantooine - Courtyard), 4 px away; matched on position, not name",,,
tar_m02aa,19,SW_MAPNOTE001,To Your Apartment,position-only match,transition,medium,4.1,"178,50","174,51",90.750000,134.250000,"the only exit nearby is door tar02_aprtdoor -> tar_m02af (Taris - Hideout), 4 px away; matched on position, not name",,,
tar_m08aa,39,SW_MAPNOTE001,Hangar,clamp,clamp_to_floor,medium,4.0,"188,187","184,187",59.641027,48.677700,off walkable floor; pulled onto nearest floor of M08aa_10a (room too large to centre in),,,
unk_m44ac,10,main,To Main Level,position-only match,transition,medium,4.0,"377,87","377,83",58.125000,52.500000,"the only exit nearby is door unk44_tpllckdoor -> unk_m44aa (Unknown World - Temple Interior), 4 px away; matched on position, not name",,,
danm14aa,27,SW_WAYPOINT001,Path South,position-only match,transition,medium,3.6,"195,177","193,180",169.140026,68.520802,"the only exit nearby is trigger to14bw -> danm14ab (Dantooine - Matale Grounds), 4 px away; matched on position, not name",,,
danm14ad,25,SW_WAYPOINT001,Path North,position-only match,transition,medium,3.2,"110,55","111,52",358.354668,207.011742,"the only exit nearby is trigger to14cw -> danm14ac (Dantooine - Grove), 3 px away; matched on position, not name",,,
korr_m33aa,39,k33a_map_dreexit,To Korriban,position-only match,transition,medium,3.2,"345,98","348,99",245.682007,160.931000,"the only exit nearby is door kor33a_kor33b -> korr_m33ab (Korriban - Sith Academy Entrance), 3 px away; matched on position, not name",,,
sta_m45ac,9,k45c_map_west,To West Elevator,position-only match,transition,medium,3.2,"99,61","102,60",-2.276000,-189.994995,"the only exit nearby is door sta45c_sta45b -> sta_m45ab (Star Forge - Deck 2), 3 px away; matched on position, not name",,,
unk_m44ab,5,main,To Main Level,position-only match,transition,medium,3.2,"355,163","358,164",58.125000,52.500000,"the only exit nearby is door RakataDoor4 -> unk_m44aa (Unknown World - Temple Interior), 3 px away; matched on position, not name",,,
tar_m09aa,15,tar09_mnbarracks1,Barracks,clamp,clamp_to_floor,medium,3.0,"165,129","165,132",-24.643490,9.639158,off walkable floor; pulled onto nearest floor of M09aa_08b (room too large to centre in),,,
tar_m10aa,32,SW_MAPNOTE001,To Garage,position-only match,transition,medium,3.0,"189,30","189,27",137.826996,139.834000,"the only exit nearby is door tar10_elev02 -> tar_m10ac (Taris - Black Vulkar Base), 3 px away; matched on position, not name",,,
unk_m44aa,49,catacomb,To Catacombs,auto,transition,high,14.0,"220,121","206,121",89.940002,59.324902,"names door unk44_basedoor -> unk_m44ab (Unknown World - Temple Catacombs), name match 1.00",,,
lev_m40aa,37,SW_MAPNOTE001,Elevator,auto,object,medium,13.0,"394,132","381,131",180.199997,79.000000,"names the door 'Elevator' (Door List), 13 px away, name match 1.00",,,
tat_m17ab,15,SW_MAPNOTE001,Ebon Hawk,auto,transition,high,13.0,"201,129","194,118",-5.039303,-8.060170,"names trigger EbonHawk -> ebo_m12aa (To the Ebon Hawk), name match 1.00",,,
danm13,34,SW_WAYPOINT001,Aratech Mercantile,auto,object,medium,12.0,"250,171","238,170",168.945007,104.669998,"names the door 'Aratech Mercantile' (Door List), 12 px away, name match 1.00",,,
ebo_m12aa,47,Cockpit,Cockpit,auto,room_centre,high,11.0,"228,17","227,28",52.694166,76.673773,"off walkable floor, nearest is room M12aa_01p (31 px across), only note in it",,,
tar_m02ab,34,SW_MAPNOTE001,To Lower City,auto,transition,high,11.0,"176,126","187,126",130.125000,131.250000,"names door tar02_lowdoor -> tar_m03aa (Taris - Lower City), name match 1.00",,,
unk_m41ad,10,temple,Temple Entrance,auto,transition,medium,11.0,"270,96","281,95",264.292371,131.809882,"names trigger AreaTransition -> unk_m44aa (Unknown World - Temple Interior), name match 0.50",,,
danm14aa,15,dan14_mapnote,Strange Ruins,auto,transition,high,10.3,"380,166","385,175",344.074005,73.565697,"names door man14aa_door04 -> danm15 (Dantooine - Ruins), name match 1.00",,,
ebo_m12aa,48,PortQuarters,Crew Quarters,auto,room_centre,medium,10.0,"131,98","131,108",23.121559,51.070368,"sole note in room M12aa_01j (40 px across), only note in it",,,
manm27aa,28,SW_MAPNOTE001,Flow Control,auto,room_centre,medium,10.0,"291,147","281,147",149.030777,-20.300041,"sole note in room M27aa_11a (55 px across), only note in it",,,
tar_m11aa,27,tar11_mnbar,Bar,auto,object,high,10.0,"117,105","107,106",27.757608,78.193192,"names the sound 'Bar Loop' (SoundList), 10 px away, name match 1.00",,,
tar_m03ad,27,SW_MAPNOTE001,Matrik's Apartment,auto,room_centre,medium,9.9,"299,190","306,197",139.158733,85.900755,"sole note in room M03ad_01a (74 px across), only note in it",,,
tar_m08aa,60,tar08_mnlab,Spice Lab,auto,room_centre,medium,9.4,"108,90","116,85",22.336965,108.078828,"sole note in room M08aa_13a (48 px across), only note in it",,,
kas_m25aa,34,SW_MAPNOTE001,Ritual Marker,auto,room_centre,medium,9.2,"292,200","290,209",186.988854,34.562610,"sole note in room M25aa_07A (49 px across), only note in it",,,
korr_m33aa,41,k33a_map_cantina,Cantina,auto,room_centre,medium,9.2,"347,70","353,63",248.278822,184.443350,"sole note in room M33aa_04a (69 px across), only note in it",,,
danm14ad,22,mapnote,Sandral Estate,auto,transition,high,9.1,"78,134","79,143",336.700989,138.707993,"names door dan14ad_door01 -> danm16 (Dantooine - Sandral Estate), name match 1.00",,,
lev_m40ac,16,SW_MAPNOTE001,Elevator,auto,object,high,9.1,"50,52","59,51",19.000000,155.000000,"names the door 'Elevator' (Door List), 9 px away, name match 1.00",,,
tar_m03ae,11,SW_MAPNOTE001,To Lower City,auto,transition,high,9.1,"298,116","307,115",141.725998,110.000000,"names door TarisDoor2 -> tar_m03aa (Taris - Lower City), name match 1.00",,,
tar_m02ab,35,SW_MAPNOTE001,To Sith Base,auto,transition,high,9.0,"164,17","164,8",112.500000,227.617004,"names door tar02_sithdoor -> tar_m09aa (Taris - Sith Base), name match 1.00",,,
tar_m02ac,50,SW_MAPNOTE001,To Apartments,auto,transition,high,9.0,"126,75","126,66",90.000000,129.524994,"names door Apartments -> tar_m02aa (Taris - South Apartments), name match 1.00",,,
manm26ad,51,SW_MAPNOTE001,Ebon Hawk,auto,transition,high,8.9,"278,141","270,137",261.081863,173.883064,"names trigger man26ad_to12aa -> ebo_m12aa (Ebon Hawk), name match 1.00",,,
ebo_m41aa,16,portquarters,Crew Quarters,auto,room_centre,medium,8.6,"126,101","131,108",23.121559,51.070368,"sole note in room M12aa_01j (40 px across), only note in it",,,
kas_m22aa,46,SW_MAPNOTE001,Ebon Hawk,auto,transition,high,8.1,"93,208","85,209",51.373859,50.899334,"names trigger EbonHawk -> ebo_m12aa (To the Ebon Hawk), name match 1.00",,,
tar_m02ad,20,SW_MAPNOTE001,To Upper City,auto,transition,high,8.1,"213,204","214,212",112.500000,81.750000,"names door ptar_stnddr -> tar_m02ab (Taris - Upper City North), name match 1.00",,,
tar_m02ae,27,SW_MAPNOTE001,To Upper City,auto,transition,high,8.1,"197,125","205,124",141.725998,110.000000,"names door ptar_stnddr -> tar_m02ac (Taris - Upper City South), name match 1.00",,,
korr_m34aa,24,k34_map_renegade,Renegade Sith,auto,room_centre,medium,8.0,"217,174","217,166",112.621468,107.993828,"sole note in room m34aa_04a (71 px across), only note in it",,,
lev_m40ac,17,SW_MAPNOTE001,Hangar Control,auto,room_centre,medium,8.0,"200,55","200,63",124.997906,145.646725,"sole note in room M40ac_32a (69 px across), only note in it",,,
manm26ab,12,SW_WAYPOINT001,General Shop,auto,room_centre,medium,8.0,"249,88","249,80",7.566640,20.961665,"sole note in room M26ab_16a (38 px across), only note in it",,,
manm26ac,24,SW_WAYPOINT001,Port Official,auto,room_centre,medium,8.0,"237,141","229,141",-44.328605,65.485431,"sole note in room M26ac_04a (29 px across), only note in it",,,
tar_m09ab,0,SW_MAPNOTE001,To Sith Base,auto,transition,high,8.0,"200,202","200,210",66.572098,-11.675600,"names door tar09_elevdoor -> tar_m09aa (Taris - Sith Base), name match 1.00",,,
korr_m33aa,40,k33a_map_store,Czerka Store,auto,room_centre,medium,7.8,"255,63","250,69",186.269710,180.498267,"sole note in room M33aa_03a (37 px across), only note in it",,,
korr_m35aa,1,k35_way_pcroom,Bedroom,auto,room_centre,medium,7.3,"141,89","148,91",47.452758,109.758182,"sole note in room M35aa_14 (26 px across), only note in it",,,
tat_m17aa,41,SW_MAPNOTE001,Spaceport,auto,object,high,7.3,"106,50","99,48",90.410301,148.153000,"names the door 'Spaceport' (Door List), 7 px away, name match 1.00",,,
tat_m17aa,46,SW_MAPNOTE001,Droid Shop,auto,transition,high,7.3,"323,58","325,51",228.557999,146.048996,"names door TatooineTransition -> tat_m17ac (Tatooine - Droid Shop), name match 1.00",,,
unk_m41ac,19,blackrakata,To Rakatan Settlement,auto,transition,high,7.2,"235,76","241,72",200.371002,201.128998,"names door unk41_blkdoor -> unk_m43aa (Unknown World - Rakatan Settlement), name match 1.00",,,
korr_m33aa,65,k33a_map_ebon,To Ebon Hawk,auto,transition,high,7.1,"121,57","120,64",107.149792,183.568096,"names trigger k33_trg_ebonhawk -> ebo_m12aa (Ebon Hawk), name match 1.00",,,
tar_m02ac,39,SW_MAPNOTE001,To Upper City,auto,transition,high,7.1,"251,87","252,80",187.500000,117.711998,"names door UpperNorth -> tar_m02ab (Taris - Upper City North), name match 1.00",,,
tar_m08aa,59,tar08_mnbarracks4,Barracks,auto,room_centre,medium,7.1,"233,39","226,40",82.572731,134.616867,"sole note in room M08aa_08a (36 px across), only note in it",,,
liv_m99aa,21,yav50_map,To Ebon Hawk,auto,transition,high,7.0,"60,131","53,131",7.208910,-4.972010,"names door yavinarea -> ebo_m12aa (To Ebon Hawk), name match 1.00",,,
tar_m02ad,21,SW_MAPNOTE001,Largo's Apartment,auto,room_centre,medium,6.4,"292,195","297,199",138.860510,86.134440,"sole note in room M02ad_01a (77 px across), only note in it",,,
ebo_m41aa,19,SW_MAPNOTE001,Cockpit,auto,room_centre,medium,6.3,"225,22","227,28",52.694166,76.673773,"sole note in room M12aa_01p (31 px across), only note in it",,,
lev_m40ab,23,SW_MAPNOTE001,To Bridge Storage,auto,transition,high,6.3,"344,83","346,77",123.000000,75.150002,"names door lev40_storage -> lev_m40ad (Leviathan - Bridge), name match 1.00",,,
manm28aa,46,cs,Central Storage Room,auto,room_centre,medium,6.3,"200,173","206,171",132.785928,106.002388,"sole note in room M28AA_07A (40 px across), only note in it",,,
tar_m10aa,40,tar10_mnbarracks,Barracks,auto,room_centre,medium,6.3,"108,132","114,130",107.614818,95.008380,"sole note in room M10aa_12a (78 px across), only note in it",,,
lev_m40ab,22,SW_MAPNOTE001,To Bridge,auto,transition,high,6.1,"389,129","395,128",141.149994,55.000000,"names door lev40_bridgedoor -> lev_m40ad (Leviathan - Bridge), name match 1.00",,,
tat_m18ab,51,SW_MAPNOTE001,Sand People Enclave,auto,transition,high,6.1,"190,224","189,230",154.481995,14.558700,"names door TatooineDoor3 -> tat_m20aa (Sand People Enclave), name match 1.00",,,
manm26ab,13,SW_WAYPOINT001,Sith Base,auto,transition,high,6.0,"260,17","254,17",45.033485,17.829863,"names trigger to27a -> manm27aa (Manaan - Sith Base), name match 1.00",,,
sta_m45ad,3,k45d_map_command,To Command Center,auto,transition,high,6.0,"222,59","222,53",202.167999,310.739014,"names door sta45d_sta45c -> sta_m45ac (Star Forge - Command Center), name match 1.00",,,
tar_m03ad,26,SW_MAPNOTE001,To Lower City,auto,transition,high,6.0,"225,203","225,209",112.500000,81.750000,"names door tar03_stddoor -> tar_m03aa (Taris - Lower City), name match 1.00",,,
tar_m10ac,24,SW_MAPNOTE001,To Main Base,auto,transition,medium,6.0,"185,63","185,57",65.408203,96.400398,"names door tar10_elevator -> tar_m10aa (Taris - Black Vulkar Base), name match 0.50",,,
kas_m25aa,32,SW_MAPNOTE001,Swoop Bikes,auto,room_centre,medium,5.8,"147,140","144,145",27.370482,111.798215,"sole note in room M25aa_10A (38 px across), only note in it",,,
lev_m40ab,20,lev40_mndroid,Droid Bay,auto,room_centre,medium,5.7,"157,184","161,180",54.846061,34.662459,"sole note in room M40ab_17a (74 px across), only note in it",,,
korr_m38ab,13,k38b_map_valley,To Valley,auto,transition,high,5.4,"44,112","39,110",6.750000,55.500000,"names door kor38b_kor36 -> korr_m36aa (Korriban - Valley of the Dark Lords), name match 1.00",,,
tat_m17aa,43,SW_MAPNOTE001,Czerka Office,auto,transition,high,5.4,"166,112","171,114",134.106995,106.012001,"names door TatooineTransition -> tat_m17ag (Tatooine - Czerka Office), name match 1.00",,,
tat_m17aa,44,SW_MAPNOTE001,Swoop Registration,auto,transition,high,5.4,"184,176","182,181",141.100998,63.178799,"names door TatooineTransition -> tat_m17ae (Tatooine - Swoop Registration), name match 1.00",,,
ebo_m41aa,20,Starboard,Crew Quarters,auto,room_centre,medium,5.1,"319,108","314,107",79.167837,51.446260,"sole note in room M12aa_01i (39 px across), only note in it",,,
korr_m33ab,14,k33b_map_dreshda,To Dreshdae,auto,transition,high,5.1,"179,153","174,152",6.218480,3.217570,"names door kor33b_kor33a -> korr_m33aa (Korriban - Dreshdae), name match 1.00",,,
manm28aa,47,ws,West Storage Room,auto,room_centre,medium,5.1,"145,163","140,164",81.896181,111.342669,"sole note in room M28AA_14A (43 px across), only note in it",,,
sta_m45ab,6,k45b_map_east,To East Exit,auto,transition,medium,5.1,"359,53","360,48",152.914993,-107.297997,"names door sta45b_east_45a -> sta_m45aa (Star Forge - Deck 1), name match 0.50",,,
tar_m03aa,16,SW_MAPNOTE001,To Black Vulkar Base,auto,transition,high,5.1,"366,156","371,155",464.045013,150.065994,"names door tar03_blkdoor -> tar_m10aa (Taris - Black Vulkar Base), name match 1.00",,,
tar_m03aa,22,SW_MAPNOTE001,To Undercity,auto,transition,high,5.1,"79,86","74,85",189.250000,221.199997,"names door tar04_elevdoor -> tar_m04aa (Taris - Undercity), name match 1.00",,,
tar_m04aa,54,SW_MAPNOTE001,To Lower City,auto,transition,high,5.1,"156,143","151,144",179.643005,166.279999,"names door tar04_elevdoor -> tar_m03aa (Taris - Lower City), name match 1.00",,,
tar_m05ab,18,SW_MAPNOTE001,To Lower Sewers,auto,transition,high,5.1,"59,104","54,103",67.206902,369.923004,"names door ptar_swrdoor -> tar_m05aa (Taris - Lower Sewers), name match 1.00",,,
tar_m10aa,42,tar10_mnrecroom,Rec Room,auto,room_centre,medium,5.1,"307,119","308,114",185.557276,101.717338,"sole note in room M10aa_03a (69 px across), only note in it",,,
kas_m24aa,26,SW_MAPNOTE001,Forcefield,auto,object,high,5.0,"352,111","352,116",340.978149,164.194504,"names the sound 'forcefield loop' (SoundList), 5 px away, name match 1.00",,,
korr_m33ab,15,k33b_map_sithaca,To Sith Academy,auto,transition,high,5.0,"323,165","328,165",83.440598,-3.635310,"names door k33b_dor_academy -> korr_m35aa (Korriban - Sith Academy), name match 1.00",,,
korr_m38aa,5,k38a_map_valley,To Valley,auto,transition,high,5.0,"48,123","43,123",11.250000,75.000000,"names door kor38a_kor36 -> korr_m36aa (Korriban - Valley of the Dark Lords), name match 1.00",,,
lev_m40ad,8,SW_MAPNOTE001,Airlock,auto,object,high,5.0,"181,104","181,99",184.471527,76.605011,"names the sound 'steam room airlock room' (SoundList), 5 px away, name match 1.00",,,
manm26aa,17,SW_WAYPOINT001,To Ahto City Central,auto,transition,medium,5.0,"318,92","323,92",1.845370,45.782200,"names door man26aa_door05 -> manm26ac (Manaan - West Central), name match 0.50",,,
