module,area,note_index,tag,strref,name,rule,confidence,old_world_x,old_world_y,new_world_x,new_world_y,old_px,old_py,new_px,new_py,move_px,drawn_before,drawn_after,roundtrip_ok,room,review,review_reason,reason
ebo_m12aa,m12aa,47,Cockpit,39414,Cockpit,room_centre,high,52.778339,80.174881,52.694166,76.673773,228,17,227,28,11.0,True,True,True,M12aa_01p,False,,"off walkable floor, nearest is room M12aa_01p (31 px across), only note in it"
ebo_m12aa,m12aa,48,PortQuarters,39415,Crew Quarters,room_centre,medium,23.219757,54.239525,23.121559,51.070368,131,98,131,108,10.0,True,True,True,M12aa_01j,False,,"sole note in room M12aa_01j (40 px across), only note in it"
ebo_m12aa,m12aa,49,Swoop,39416,Swoop Hangar,room_centre,medium,69.985458,27.413872,64.168719,32.276325,284,182,265,166,24.8,True,True,True,M12aa_01e,False,,"sole note in room M12aa_01e (79 px across), only note in it"
ebo_m12aa,m12aa,50,Starboard,39415,Crew Quarters,room_centre,medium,80.764389,56.232147,79.167837,51.446260,319,92,314,107,15.8,True,True,True,M12aa_01i,False,,"sole note in room M12aa_01i (39 px across), only note in it"
ebo_m12aa,m12aa,51,Engine,39417,Engine Room,room_centre,high,49.464031,7.279156,49.582003,17.606845,217,244,217,212,32.0,True,True,True,M12aa_01l,True,moves 32 px from the vanilla position,"off walkable floor, nearest is room M12aa_01l (45 px across), only note in it"
ebo_m12aa,m12aa,52,sw_exit,39418,Exit Ramp,transition,medium,66.920219,50.405865,67.231790,48.805377,274,110,275,115,5.1,True,True,True,M12aa_01d,True,the walkable-floor gate moved it 14 px,"names trigger AreaTransition -> ? (Exit Ebon Hawk), name match 0.50; centred on its drawn transition line (14 px long) and set 4 px clear of it; pulled 14 px onto walkable floor of M12aa_01d"
ebo_m41aa,m12aa,15,cargo,39412,Cargo Hold,room_centre,medium,27.819416,31.098352,32.146379,31.694086,146,170,160,168,14.1,True,True,True,M12aa_01k,False,,"sole note in room M12aa_01k (69 px across), only note in it"
ebo_m41aa,m12aa,16,portquarters,39415,Crew Quarters,room_centre,medium,21.674591,53.288635,23.121559,51.070368,126,101,131,108,8.6,True,True,True,M12aa_01j,False,,"sole note in room M12aa_01j (40 px across), only note in it"
ebo_m41aa,m12aa,17,SwoopRacer,39416,Swoop Hangar,room_centre,medium,68.721008,26.414141,64.168719,32.276325,280,185,265,166,24.2,True,True,True,M12aa_01e,False,,"sole note in room M12aa_01e (79 px across), only note in it"
ebo_m41aa,m12aa,18,exit,33461,Exit,transition,medium,66.962128,45.197422,66.189211,48.002614,274,126,272,117,9.2,True,True,True,M12aa_01d,False,,"the only exit nearby is trigger newtransition001 -> ? (Unknown World - Central Beach), 9 px away; matched on position, not name"
ebo_m41aa,m12aa,19,SW_MAPNOTE001,39414,Cockpit,room_centre,medium,51.913193,78.661560,52.694166,76.673773,225,22,227,28,6.3,True,True,True,M12aa_01p,False,,"sole note in room M12aa_01p (31 px across), only note in it"
ebo_m41aa,m12aa,20,Starboard,39415,Crew Quarters,room_centre,medium,80.581749,51.163124,79.167837,51.446260,319,108,314,107,5.1,True,True,True,M12aa_01i,False,,"sole note in room M12aa_01i (39 px across), only note in it"
ebo_m41aa,m12aa,21,SW_MAPNOTE001,39417,Engine Room,room_centre,high,49.466373,8.409620,49.582003,17.606845,217,241,217,212,29.0,True,True,True,M12aa_01l,True,moves 29 px from the vanilla position,"off walkable floor, nearest is room M12aa_01l (45 px across), only note in it"
ebo_m46ab,m46aa,4,SW_MAPNOTE001,39448,Strange Obelisks,none,n/a,100.221870,123.704697,,,227,74,,,0.0,True,True,,M46aa_01a,,,"on floor of M46aa_01a, too large to centre in (316 px across)"
end_m01aa,m01aa,6,SW_WAYPOINT001,34305,Bridge,none,n/a,34.280258,155.674500,,,406,130,,,0.0,True,True,,M01aa_07a,,,"on floor of M01aa_07a, too large to centre in (86 px across)"
end_m01aa,m01aa,7,SW_WAYPOINT001,43391,Escape Pod Access,none,n/a,45.013935,120.189560,,,311,156,,,0.0,True,True,,M01aa_08a,,,"already on an exit (6 px); it marks that way through, so leave it there"
end_m01aa,m01aa,18,SW_WAYPOINT001,39590,Quarters,door_room,medium,14.999200,21.433613,15.539645,22.921238,48,82,52,83,4.1,True,True,True,M01aa_01a,True,green-door rule: moved into the room through the door,"marks a drawn green door line (11 px long); centred in the room it opens into, M01aa_01a (48 px across, the only room either side)"
end_m01ab,m01ab,6,SW_WAYPOINT001,34353,Escape Pods,none,n/a,82.828049,42.306335,,,55,197,,,0.0,True,True,,M01ab_12a,,,"on floor of M01ab_12a, too large to centre in (84 px across)"
kas_m22aa,m22aa,46,SW_MAPNOTE001,33404,Ebon Hawk,transition,high,54.812141,50.997375,52.243190,50.170586,93,208,87,210,6.3,True,True,True,M22aa_04a,False,,"names trigger EbonHawk -> ebo_m12aa (To the Ebon Hawk), name match 1.00; centred on its drawn transition line (9 px long) and set 4 px clear of it"
kas_m22aa,m22aa,47,SW_MAPNOTE001,39700,To the Great Walkway,transition,high,166.228363,140.869797,167.613007,141.561005,335,26,338,25,3.2,True,True,True,m22aa_01a,False,,"names door KashyyykDoor3 -> kas_m22ab (Kashyyyk - The Great Walkway), name match 1.00"
kas_m22aa,m22aa,48,SW_MAPNOTE001,39701,Janos' Office,room_centre,high,167.446472,78.844933,159.582730,82.403683,337,152,320,145,18.4,True,True,True,M22aa_03a,False,,"off walkable floor, nearest is room M22aa_03a (80 px across), only note in it"
kas_m22ab,m22ab,32,SW_MAPNOTE001,39721,To the Czerka Dock,below_threshold,n/a,52.512909,270.460480,,,85,71,,,2.2,True,True,,m22ab_05a,,,"names door KashyyykDoor3 -> kas_m22aa (Kashyyyk - Czerka Landing Port), name match 0.50; centred on its drawn transition line (6 px long) and set 4 px clear of it; pulled 3 px onto walkable floor of m22ab_05a"
kas_m22ab,m22ab,33,SW_MAPNOTE001,39722,To Rwookrrorro Village,transition,high,228.789261,313.888428,230.443587,317.721636,232,37,233,34,3.2,True,True,True,m22ab_09a,False,,"names door kas22_towndoor -> kas_m23aa (to the Village of Rwookrrorro), name match 1.00; centred on its drawn diagonal transition line (10 px long) and set 4 px clear of it; pulled 4 px onto walkable floor of m22ab_09a"
kas_m22ab,m22ab,34,SW_MAPNOTE001,39723,Supply Station,none,n/a,179.975662,269.249268,,,191,72,,,0.0,True,True,,m22ab_09a,,,"on floor of m22ab_09a, but 2 notes share that room"
kas_m22ab,m22ab,35,SW_MAPNOTE001,39724,Basket to the Shadowlands,none,n/a,301.529999,97.504944,,,292,208,,,0.0,True,True,,m22ab_12a,,,"on floor of m22ab_12a, too large to centre in (106 px across)"
kas_m23aa,m23aa,8,SW_MAPNOTE001,39700,To the Great Walkway,transition,high,71.553047,130.857742,69.551514,133.309086,101,42,97,37,6.4,True,True,True,M23Aa_02a,False,,"names door KashyyykDoor3 -> kas_m22ab (Kashyyyk - The Great Walkway), name match 1.00; centred on its drawn diagonal transition line (14 px long) and set 4 px clear of it"
kas_m23aa,m23aa,9,SW_MAPNOTE001,39729,Chieftain's Hall,none,n/a,94.231949,65.096252,,,146,172,,,0.0,True,True,,M23Aa_03a,,,"already on a doorway (5 px); it marks that way through, and no room could be derived from the door, so leave it there"
kas_m23aa,m23aa,10,SW_MAPNOTE001,39730,Holder of the Laws,object,high,180.391647,91.163010,180.899002,93.422501,317,120,318,116,4.1,True,True,True,M23Aa_08a,False,,"names the door 'Holder of the Laws' (Door List), 4 px away, name match 1.00"
kas_m23aa,m23aa,11,SW_MAPNOTE001,39731,Home of Woorwill,transition,high,124.565742,83.727745,128.020198,85.739398,206,135,213,131,8.1,True,True,True,M23Aa_06a,False,,"names door KashyyykDoor1 -> kas_m23ab (Kashyyyk - Woorwill's Home), name match 1.00; centred on its drawn diagonal transition line (12 px long) and set 4 px clear of it"
kas_m23ab,m23ab,1,SW_MAPNOTE001,33461,Exit,transition,low,27.842918,13.321379,29.209209,12.337501,271,119,284,127,15.3,True,True,True,m23ab_01a,False,,"the only exit nearby is door KashyyykDoor2 -> kas_m23aa (Kashyyyk - Village of Rwookrrorro), 16 px away; matched on position, not name; offset from its drawn transition line (40 px long) and set 4 px clear of it"
kas_m23ac,m23ac,3,SW_MAPNOTE001,33461,Exit,transition,low,37.566174,14.635536,37.271130,13.776923,287,113,284,120,7.6,True,True,True,m23ac_01a,False,,"the only exit nearby is door KashyyykDoor2 -> kas_m23aa (Kashyyyk - Village of Rwookrrorro), 17 px away; matched on position, not name; offset from its drawn transition line (45 px long) and set 4 px clear of it"
kas_m23ad,m23ad,8,SW_MAPNOTE001,33461,Exit,transition,low,43.945854,20.283871,45.131819,20.770896,292,90,300,87,8.5,True,True,True,m23ad_01a,False,,"the only exit nearby is door KashyyykDoor2 -> kas_m23aa (Kashyyyk - Village of Rwookrrorro), 15 px away; matched on position, not name; offset from its drawn transition line (30 px long) and set 4 px clear of it"
kas_m24aa,m24aa,23,SW_MAPNOTE001,39782,Basket Up,room_centre,medium,68.363785,148.274231,76.974085,159.243751,106,129,114,120,12.0,True,True,True,m24aa_02a,False,,"sole note in room m24aa_02a (71 px across), only note in it"
kas_m24aa,m24aa,24,SW_MAPNOTE001,39783,Jolee's Hut,room_centre,medium,145.285355,137.318695,156.071147,138.953901,176,138,186,136,10.2,True,True,True,m24aa_10a,False,,"sole note in room m24aa_10a (79 px across), only note in it"
kas_m24aa,m24aa,25,SW_MAPNOTE001,39784,Czerka Hunting Ground,none,n/a,241.464615,225.213318,,,262,68,,,0.0,True,True,,m24aa_05a,,,"on floor of m24aa_05a, too large to centre in (94 px across)"
kas_m24aa,m24aa,26,SW_MAPNOTE001,39785,Forcefield,object,high,340.639160,170.957672,340.978149,164.194504,352,111,352,116,5.0,True,True,True,m24aa_09a,False,,"names the sound 'forcefield loop' (SoundList), 5 px away, name match 1.00"
kas_m25aa,m25aa,31,SW_MAPNOTE001,39891,To Upper Shadowlands,transition,high,184.744797,243.268646,180.224640,246.999997,288,35,284,32,5.0,True,True,True,M25aa_01a,False,,"names trigger Exit -> kas_m24aa (To the Upper Shadowlands), name match 1.00; centred on its drawn transition line (8 px long) and set 4 px clear of it"
kas_m25aa,m25aa,32,SW_MAPNOTE001,39892,Swoop Bikes,room_centre,medium,30.198788,117.079559,27.370482,111.798215,147,140,144,145,5.8,True,True,True,M25aa_10A,False,,"sole note in room M25aa_10A (38 px across), only note in it"
kas_m25aa,m25aa,33,SW_MAPNOTE001,39893,Computer,below_threshold,n/a,78.263229,19.838837,,,191,221,,,2.2,True,True,,M25aa_12A,,,"names the sound 'computer rnd' (SoundList), 2 px away, name match 1.00"
kas_m25aa,m25aa,34,SW_MAPNOTE001,39894,Ritual Marker,room_centre,medium,189.058670,45.553070,186.988854,34.562610,292,200,290,209,9.2,True,True,True,M25aa_07A,False,,"sole note in room M25aa_07A (49 px across), only note in it"
kas_m25aa,m25aa,35,SW_MAPNOTE001,39895,Freyyr,room_centre,medium,183.984253,156.743958,190.499388,130.331302,287,107,293,129,22.8,True,True,True,M25aa_04A,False,,"sole note in room M25aa_04A (70 px across), only note in it"
korr_m33aa,m33aa,39,k33a_map_dreexit,39910,To Korriban,transition,medium,243.565186,161.872147,242.374736,163.611998,345,98,343,95,3.6,True,True,True,M33aa_07a,False,,"the only exit nearby is door kor33a_kor33b -> korr_m33ab (Korriban - Sith Academy Entrance), 3 px away; matched on position, not name; centred on its drawn diagonal transition line (10 px long) and set 4 px clear of it"
korr_m33aa,m33aa,40,k33a_map_store,34558,Czerka Store,room_centre,medium,189.095703,184.213623,186.269710,180.498267,255,63,250,69,7.8,True,True,True,M33aa_03a,False,,"sole note in room M33aa_03a (37 px across), only note in it"
korr_m33aa,m33aa,41,k33a_map_cantina,34552,Cantina,room_centre,medium,245.053879,179.805267,248.278822,184.443350,347,70,353,63,9.2,True,True,True,M33aa_04a,False,,"sole note in room M33aa_04a (69 px across), only note in it"
korr_m33aa,m33aa,65,k33a_map_ebon,34556,To Ebon Hawk,transition,high,107.852074,188.206619,110.376925,189.040002,121,57,125,56,4.1,True,True,True,M33aa_01b,False,,"names trigger k33_trg_ebonhawk -> ebo_m12aa (Ebon Hawk), name match 1.00; centred on its drawn transition line (11 px long) and set 4 px clear of it"
korr_m33ab,m33ab,14,k33b_map_dreshda,34574,To Dreshdae,transition,high,8.911469,2.879304,9.292857,4.850000,179,153,180,149,4.1,True,True,True,M33ab_01,False,,"names door kor33b_kor33a -> korr_m33aa (Korriban - Dreshdae), name match 1.00; centred on its drawn transition line (12 px long) and set 4 px clear of it"
korr_m33ab,m33ab,15,k33b_map_sithaca,34576,To Sith Academy,transition,high,81.061974,-4.039699,79.383768,-2.155556,323,165,320,162,4.2,True,True,True,M33ab_01,False,,"names door k33b_dor_academy -> korr_m35aa (Korriban - Sith Academy), name match 1.00; centred on its drawn transition line (12 px long) and set 4 px clear of it"
korr_m34aa,m34aa,4,k34_map_valley,39926,To Valley,transition,high,6.685781,150.699890,9.665000,153.756846,112,127,115,124,4.2,True,True,True,m34aa_01a,False,,"names trigger k34_trg_k36 -> korr_m36aa (Korriban - Valley of the Dark Lords), name match 1.00; centred on its drawn transition line (7 px long) and set 4 px clear of it"
korr_m34aa,m34aa,24,k34_map_renegade,43806,Renegade Sith,room_centre,medium,111.843956,99.768654,112.621468,107.993828,217,174,217,166,8.0,True,True,True,m34aa_04a,False,,"sole note in room m34aa_04a (71 px across), only note in it"
korr_m35aa,m35aa,1,k35_way_pcroom,34654,Bedroom,room_centre,medium,42.719975,111.575775,47.452758,109.758182,141,89,148,91,7.3,True,True,True,M35aa_14,False,,"sole note in room M35aa_14 (26 px across), only note in it"
korr_m35aa,m35aa,41,k35_map_dreshdae,34574,To Dreshdae,transition,low,121.717903,61.000935,123.526503,58.230767,250,154,253,158,5.0,True,True,True,M35aa_03,False,,"the only exit nearby is door kor35_kor33b -> korr_m33ab (Korriban - Sith Academy Entrance), 12 px away; matched on position, not name; centred on its drawn transition line (6 px long) and set 4 px clear of it; pulled 3 px onto walkable floor of M35aa_03"
korr_m35aa,m35aa,51,k35_map_valley,39926,To Valley,transition,high,121.724289,157.423248,122.803611,162.596146,251,30,252,23,7.1,True,True,True,M35aa_01,False,,"names door kor35_kor36 -> korr_m36aa (Korriban - Valley of the Dark Lords), name match 1.00; centred on its drawn transition line (7 px long) and set 4 px clear of it"
korr_m35aa,m35aa,52,k35_map_duelling,39942,Dueling Room,room_centre,medium,188.095032,51.990299,188.227363,49.913206,342,166,343,169,3.2,True,True,True,M35aa_22,False,,"sole note in room M35aa_22 (43 px across), only note in it"
korr_m35aa,m35aa,53,k35_map_torture,39946,Interrogation Room,below_threshold,n/a,184.981979,91.750565,,,338,115,,,2.8,True,True,,M35aa_21,,,"sole note in room M35aa_21 (36 px across), only note in it"
korr_m36aa,m36aa,11,k36_way_lashowe,47880,Meeting Place,none,n/a,89.107224,252.165070,,,228,26,,,0.0,True,True,,M36aa_01,,,"on floor of M36aa_01, but 5 notes share that room"
korr_m36aa,m36aa,30,k36_map_sithacad,34576,To Sith Academy,transition,high,38.512924,0.525375,36.880001,-4.959965,183,239,182,244,5.1,True,True,True,M36aa_03,False,,"names door kor36_kor35 -> korr_m35aa (Korriban - Sith Academy), name match 1.00; centred on its drawn diagonal transition line (8 px long) and set 4 px clear of it"
korr_m36aa,m36aa,31,k36_map_caves,34676,To Caves,transition,high,58.563133,63.228775,69.939998,68.200022,201,186,211,182,10.8,True,True,True,M36aa_02,False,,"names trigger k36_trg_k34 -> korr_m34aa (Korriban - Shyrack Caves), name match 1.00; centred on its drawn diagonal transition line (8 px long) and set 4 px clear of it"
korr_m36aa,m36aa,32,k36_map_final,39988,To Naga Sadow's Tomb,transition,high,32.171669,253.072769,24.340002,254.639990,178,25,171,24,7.1,True,True,True,M36aa_01,False,,"names door kor36_kor39 -> korr_m39aa (Korriban - Tomb of Naga Sadow), name match 1.00; centred on its drawn transition line (7 px long) and set 4 px clear of it"
korr_m36aa,m36aa,33,k36_map_second,39990,To Marka Ragnos' Tomb,transition,high,27.450588,180.172104,20.920002,180.300003,174,87,168,87,6.0,True,True,True,M36aa_01,False,,"names door kor36_kor38a -> korr_m38aa (Korriban - Tomb of Marka Ragnos), name match 1.00; centred on its drawn diagonal transition line (10 px long) and set 4 px clear of it"
korr_m36aa,m36aa,34,k36_map_third,39991,To Tulak Hord's Tomb,transition,high,117.244095,247.889999,126.939993,247.559991,252,30,261,30,9.0,True,True,True,M36aa_01,False,,"names door kor36_kor38b -> korr_m38ab (Korriban - Tomb of Tulak Hord), name match 1.00; centred on its drawn transition line (8 px long) and set 4 px clear of it"
korr_m36aa,m36aa,35,k36_map_firsttom,39989,To Ajunta Pall's Tomb,below_threshold,n/a,131.849884,177.106140,,,265,90,,,2.0,True,True,,M36aa_01,,,"names door kor36_kor37 -> korr_m37aa (Korriban - Tomb of Ajunta Pall), name match 1.00; centred on its drawn diagonal transition line (8 px long) and set 4 px clear of it"
korr_m37aa,m37aa,9,k37_map_valley,39926,To Valley,below_threshold,n/a,8.623657,17.501030,,,79,136,,,0.0,True,True,,M37aa_02,,,"names door k37_door_valley -> korr_m36aa (Korriban - Valley of the Dark Lords), name match 1.00; centred on its drawn transition line (8 px long) and set 4 px clear of it"
korr_m37aa,m37aa,12,k37_map_sarc,40008,Sith Sarcophagus,below_threshold,n/a,146.031372,23.425493,,,380,123,,,0.0,True,True,,M37aa_12,,,off walkable floor; pulled onto nearest floor of M37aa_12 (room too large to centre in)
korr_m38aa,m38ab,5,k38a_map_valley,39926,To Valley,transition,high,13.298141,74.555481,12.947478,76.393549,48,123,47,120,3.2,True,True,True,M38ab_07,False,,"names door kor38a_kor36 -> korr_m36aa (Korriban - Valley of the Dark Lords), name match 1.00; centred on its drawn transition line (8 px long) and set 4 px clear of it"
korr_m38aa,m38ab,9,k38a_map_sarcoph,40008,Sith Sarcophagus,none,n/a,149.857773,74.609215,,,379,123,,,0.0,True,True,,M38ab_08,,,"already on a doorway (6 px); it marks that way through, and no room could be derived from the door, so leave it there"
korr_m38ab,m38aa,13,k38b_map_valley,39926,To Valley,transition,high,8.890373,54.564922,10.059091,55.921739,44,112,47,109,4.2,True,True,True,M38aa_07,False,,"names door kor38b_kor36 -> korr_m36aa (Korriban - Valley of the Dark Lords), name match 1.00; centred on its drawn transition line (11 px long) and set 4 px clear of it"
korr_m38ab,m38aa,16,k38b_map_sarc,40008,Sith Sarcophagus,none,n/a,147.751923,74.412827,,,385,65,,,0.0,True,True,,M38aa_08,,,"already on a doorway (1 px); it marks that way through, and no room could be derived from the door, so leave it there"
